Sample,Mass_x,Mass_y,Dist,Dist_plus,Dist_minus,Trans_name
Altamaha_PP48_000107-4_p08,262.072776,262.036392,0.036383999999998196,0.0363939999999982,0.03637399999999819,CH4_O
Altamaha_PP48_000107-4_p08,265.072463,265.036077,0.03638600000004999,0.03639600000004999,0.036376000000049986,CH4_O
Altamaha_PP48_000107-4_p08,265.108836,265.072463,0.036372999999969124,0.03638299999996913,0.03636299999996912,CH4_O
Altamaha_PP48_000107-4_p08,267.088118,267.05173,0.0363879999999881,0.0363979999999881,0.036377999999988093,CH4_O
Altamaha_PP48_000107-4_p08,269.103746,269.067371,0.03637500000002092,0.03638500000002092,0.036365000000020915,CH4_O
Altamaha_PP48_000107-4_p08,273.062302,273.025913,0.03638899999998557,0.036398999999985575,0.03637899999998557,CH4_O
Altamaha_PP48_000107-4_p08,273.077578,273.041191,0.03638699999999062,0.036396999999990624,0.03637699999999062,CH4_O
Altamaha_PP48_000107-4_p08,273.098676,273.062302,0.03637400000002344,0.036384000000023446,0.03636400000002344,CH4_O
Altamaha_PP48_000107-4_p08,275.060185,275.023801,0.036383999999998196,0.0363939999999982,0.03637399999999819,CH4_O
Altamaha_PP48_000107-4_p08,275.093231,275.056854,0.03637700000001587,0.03638700000001587,0.036367000000015866,CH4_O
Altamaha_PP48_000107-4_p08,277.108889,277.072502,0.03638699999999062,0.036396999999990624,0.03637699999999062,CH4_O
Altamaha_PP48_000107-4_p08,281.049671,281.013294,0.03637700000001587,0.03638700000001587,0.036367000000015866,CH4_O
Altamaha_PP48_000107-4_p08,285.080992,285.044605,0.03638699999999062,0.036396999999990624,0.03637699999999062,CH4_O
Altamaha_PP48_000107-4_p08,285.207891,285.17152,0.03637100000003102,0.03638100000003102,0.036361000000031014,CH4_O
Altamaha_PP48_000107-4_p08,286.093972,286.057591,0.03638100000000577,0.03639100000000577,0.03637100000000577,CH4_O
Altamaha_PP48_000107-4_p08,289.130036,289.093665,0.03637100000003102,0.03638100000003102,0.036361000000031014,CH4_O
Altamaha_PP48_000107-4_p08,291.124569,291.088196,0.03637300000002597,0.03638300000002597,0.036363000000025965,CH4_O
Altamaha_PP48_000107-4_p08,293.067494,293.031109,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,293.140236,293.103862,0.03637400000002344,0.036384000000023446,0.03636400000002344,CH4_O
Altamaha_PP48_000107-4_p08,294.099073,294.062688,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,295.094419,295.058043,0.036376000000018394,0.0363860000000184,0.03636600000001839,CH4_O
Altamaha_PP48_000107-4_p08,295.119509,295.08312,0.03638899999998557,0.036398999999985575,0.03637899999998557,CH4_O
Altamaha_PP48_000107-4_p08,296.114747,296.078375,0.03637200000002849,0.036382000000028496,0.03636200000002849,CH4_O
Altamaha_PP48_000107-4_p08,297.062422,297.026043,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,297.098812,297.062422,0.03638999999998305,0.03639999999998305,0.036379999999983044,CH4_O
