Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-2_p08
444.050146188345,16,16,14,0,1,0,0,0,CHO,Tannin,445.057422655225,-0.140643480120863,6,1700786.1
444.057267151353,20,15,11,1,0,0,0,0,CHON,ConHC,445.064543618233,-0.0747946184966322,6,2513332.5
444.065361109306,20,16,11,0,1,0,0,0,CHO,ConHC,445.072637576186,-0.0480408910936121,8,2611127
444.078429041421,17,21,11,0,1,0,1,0,CHOP,Lignin,445.085705508301,-0.455290516703442,8,3141051.5
444.086507999452,17,20,13,0,1,0,0,0,CHO,Tannin,445.093784466332,-0.087395586202845,5,5366718
444.093817961478,21,19,10,1,0,0,0,0,CHON,Lignin,445.101094428358,-0.446173376886924,8,2368448.5
444.101712920466,21,20,10,0,1,0,0,0,CHO,Lignin,445.108989387346,0.0276639083899792,7,2601923.3
444.114756852705,18,25,10,0,1,0,1,0,CHOP,Lignin,445.122033319585,-0.325637183266147,6,4640711.5
444.122831810757,18,24,12,0,1,0,0,0,CHO,Lignin,445.130108277637,0.0512114601205558,5,4347850
444.12982477443,22,23,9,1,0,0,0,0,CHON,Lignin,445.13710124131,0.404596896699306,5,1828812.5
444.137832732831,22,24,9,0,1,0,0,0,CHO,Lignin,445.145109199711,0.624532054046653,7,1623503.1
444.151131663745,19,29,9,0,1,0,1,0,CHOP,Lignin,445.158408130625,-0.301584835770239,5,4149203.5
444.159006622837,19,28,11,0,1,0,0,0,CHO,Lignin,445.166283089717,0.524500601779933,4,3017686.3
444.17436554305,23,28,8,0,1,0,0,0,CHO,Lignin,445.18164200993,0.293595820966567,7,1727963.3
444.18759047435,20,33,8,0,1,0,1,0,CHOP,Protein,445.19486694123,-0.46621680764475,5,2949087.5
445.041250182767,20,14,12,0,0,0,0,0,CHO,ConHC,446.048526649647,-0.00164790832625496,7,9748726
445.044296837353,17,18,12,0,0,1,0,0,CHOS,Tannin,446.051573304233,0.725092761090834,11,2093303.4
445.054371524398,17,19,12,0,0,0,1,0,CHOP,Tannin,446.061647991278,-0.527743595236013,11,4731130.5
445.062379557374,17,18,14,0,0,0,0,0,CHO,Tannin,446.069656024254,-0.00165232873510868,8,9894141
445.071888750229,28,14,6,0,0,0,0,0,CHO,ConHC,446.079165217109,-0.284781533244851,7,2327808.3
445.077635692523,21,18,11,0,0,0,0,0,CHO,Lignin,446.084912159403,-0.001655520348538,6,13621506
445.090643169075,18,23,11,0,0,0,1,0,CHOP,Lignin,446.097919635955,-0.272461605094667,12,9476358
445.098765067129,18,22,13,0,0,0,0,0,CHO,Tannin,446.106041534009,-0.00165994016373762,7,13162761
445.108507346338,29,18,5,0,0,0,0,0,CHO,ConHC,446.115783813218,-0.807245408984867,8,3873036
445.114021202278,22,22,10,0,0,0,0,0,CHO,Lignin,446.121297669158,-0.00166313163882069,5,12794126
445.117092763181,19,26,10,0,0,1,0,0,CHOS,Lignin,446.124369230061,0.669130762316186,8,2426638.8
445.127143687607,19,27,10,0,0,0,1,0,CHOP,Lignin,446.134420154487,-0.530236576301811,9,14649618
445.135150576885,19,26,12,0,0,0,0,0,CHO,Lignin,446.142427043765,-0.0016675508604977,6,9031957
445.14484324957,30,22,4,0,0,0,0,0,CHO,ConHC,446.15211971645,-0.695999942215689,7,4900120
445.150406712034,23,26,9,0,0,0,0,0,CHO,Lignin,446.157683178914,-0.00167074194246899,4,10987802
445.163595646201,20,31,9,0,0,0,1,0,CHOP,Protein,446.170872113081,-0.679132367295466,7,10871070
445.171536086641,20,30,11,0,0,0,0,0,CHO,AminoSugar,446.178812553521,-0.00167516082556799,5,4127008.3
445.181420245445,31,26,3,0,0,0,0,0,CHO,UnsatHC,446.188696712325,-1.12511013495042,5,2542371.5
445.186792221791,24,30,8,0,0,0,0,0,CHO,Lignin,446.194068688671,-0.00167835164191279,4,7026981.5
445.199914225845,21,35,8,0,0,0,1,0,CHOP,Protein,446.207190692725,-0.529087001515792,7,4311337.5
445.223177731547,25,34,7,0,0,0,0,0,CHO,Lignin,446.230454198427,-0.00168596048252831,3,2559281
446.044704017891,19,14,12,0,1,0,0,0,CHO,ConHC,447.051980484771,-0.223088981709619,7,2514485.3
446.072911061302,20,17,11,1,0,0,0,0,CHON,Lignin,447.080187528182,-0.0606919808409174,7,3362366
446.080925073636,20,18,11,0,1,0,0,0,CHO,Lignin,447.088201540516,0.144754846355348,8,3362368.5
