Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
119.647326,1064461,0,0,0,0,0,0,0,0,0,0,119.647287537354,119.647287537354,120.654564004234,7.37,717131,0.00513826270638278,61
119.670779,1290430.3,0,0,0,0,0,0,0,0,0,0,119.67074046018,119.67074046018,120.67801692706,9.46,854706.4,0.00622903975408807,62
119.964593,1052279.6,0,0,0,0,0,0,0,0,0,0,119.964553491707,119.964553491707,120.971829958587,7.25,792202.7,0.0050794618359596,63
120.921469,1037395.4,0,0,0,0,0,0,0,0,0,0,120.921426316592,120.921426316592,121.928702783472,7.11,898866.9,0.00500761427200531,64
121.819371,1121852,0,0,0,0,0,0,0,0,0,0,121.819325308083,121.819325308083,122.826601774963,7.9,639805.6,0.00541529496494558,65
121.839776,1160854,0,0,0,0,0,0,0,0,0,0,121.839730239389,121.839730239389,122.847006706269,8.26,854421,0.00560356162955268,66
122.125739,1086579.4,0,0,0,0,0,0,0,0,0,0,122.125692275171,122.125692275171,123.132968742051,7.57,636116.4,0.00524503049763568,67
122.722954,1050846.5,0,0,0,0,0,0,0,0,0,0,122.722905252382,122.722905252382,123.730181719262,7.24,632754.5,0.00507254411489277,68
123.288626,1037773.6,0,0,0,0,0,0,0,0,0,0,123.288575325155,123.288575325155,124.295851792035,7.12,834875.8,0.00500943988229592,69
123.356711,1076286.6,0,0,0,0,0,0,0,0,0,0,123.356660092455,123.356660092455,124.363936559335,7.47,577191,0.00519534609361876,70
123.526085,1027445.6,0,0,0,0,0,0,0,0,0,0,123.526033512887,123.526033512887,124.533309979767,7.02,632483.8,0.00495958556425936,71
124.00318,1076450.3,0,0,0,0,0,0,0,0,0,0,124.003126875116,124.003126875116,125.010403341996,7.47,771058.2,0.00519613629035217,72
124.006601,1145650.8,0,0,0,0,0,0,0,0,0,0,124.006547863345,124.006547863345,125.013824330225,8.11,743533.3,0.00553017421979537,73
124.013528,1138995.8,0,0,0,0,0,0,0,0,0,0,124.013474839508,124.013474839508,125.020751306388,8.05,647214,0.00549804985045635,74
124.020147,1032308.8,0,0,0,0,0,0,0,0,0,0,124.02009381673,124.02009381673,125.02737028361,7.06,576884.4,0.00498306073074614,75
124.02635,1243605.8,0,0,0,0,0,0,0,0,0,0,124.026296795382,124.026296795382,125.033573262262,9.02,447583.5,0.00600301307758699,76
124.040391,1330807.8,6,7,2,1,0,0,0,0,0.5138853144404,1,124.040337747054,124.040337747054,125.047614213934,9.83,798488.8,0.00642394609863895,77
124.052096,1172601.6,0,0,0,0,0,0,0,0,0,0,124.052042706762,124.052042706762,125.059319173642,8.36,902268.3,0.00566026850276786,78
124.062675,1128139.1,0,0,0,0,0,0,0,0,0,0,124.062621670341,124.062621670341,125.069898137221,7.95,711967.2,0.00544564344315314,79
124.07703,1050893.4,0,0,0,0,0,0,0,0,0,0,124.076976620915,124.076976620915,125.084253087795,7.23,669027,0.00507277050601553,80
124.090307,1195071.4,0,0,0,0,0,0,0,0,0,0,124.090253575195,124.090253575195,125.097530042075,8.57,652135.7,0.00576873253795551,81
124.093253,1046015.8,0,0,0,0,0,0,0,0,0,0,124.093199565049,124.093199565049,125.100476031929,7.18,1005656.5,0.005049225829248,82
124.09921,1121136.8,0,0,0,0,0,0,0,0,0,0,124.099156544533,124.099212337136,125.106488804016,7.88,761847,0.00541184262100099,83
124.100729,1059472.9,0,0,0,0,0,0,0,0,0,0,124.100675539301,124.100675539301,125.107952006181,7.31,763590.2,0.00511418463475244,84
124.108149,1145482.1,0,0,0,0,0,0,0,0,0,0,124.108095513745,124.108095513745,125.115371980625,8.11,576360,0.00552935988754781,85
124.110027,1323554.4,0,0,0,0,0,0,0,0,0,0,124.109973507276,124.109973507276,125.117249974156,9.76,596281.3,0.00638893319096598,86
124.11747,1067011.5,0,0,0,0,0,0,0,0,0,0,124.117416481638,124.117416481638,125.124692948518,7.38,862249.2,0.00515057423215275,87
124.118587,1156899.6,0,0,0,0,0,0,0,0,0,0,124.11853347779,124.11853347779,125.12580994467,8.21,620770.8,0.00558447333411854,88
124.120062,1176579.9,0,0,0,0,0,0,0,0,0,0,124.120008472709,124.119970367007,125.127246833887,8.39,856777,0.00567947216595966,89
124.120554,1044707.9,0,0,0,0,0,0,0,0,0,0,124.120500471014,124.120500471014,125.127776937894,7.17,848015.4,0.00504291246145558,90
124.122456,1281364.3,0,0,0,0,0,0,0,0,0,0,124.122402464462,124.122402464462,125.129678931342,9.37,487560,0.00618527723982398,91
