Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
111.741763,1199801.5,0,0,0,0,0,0,0,0,0,0,111.741505087134,111.741505087134,112.748781554014,8.65,786729.6,0.00753527607639381,14
111.745633,1287457.4,0,0,0,0,0,0,0,0,0,0,111.745375078363,111.745375078363,112.752651545243,9.47,625341.1,0.008085793312974,15
111.750403,1123393.3,0,0,0,0,0,0,0,0,0,0,111.750145067553,111.750145067553,112.757421534433,7.94,1083642.2,0.00705539929552605,16
111.757773,1147456.9,0,0,0,0,0,0,0,0,0,0,111.75751505085,111.75751505085,112.76479151773,8.16,979380.6,0.0072065291860887,17
111.765146,1024560.6,0,0,0,0,0,0,0,0,0,0,111.76488803414,111.76488803414,112.77216450102,7.02,711250.7,0.00643468688611882,18
111.772116,1096248.3,0,0,0,0,0,0,0,0,0,0,111.771858018343,111.771858018343,112.779134485223,7.69,700939.4,0.00688491687064684,19
111.782549,1072787.8,0,0,0,0,0,0,0,0,0,0,111.782290994698,111.782290994698,112.789567461578,7.47,942524.3,0.00673757471080604,20
111.808314,1074906.8,0,0,0,0,0,0,0,0,0,0,111.808055936305,111.808055936305,112.815332403185,7.49,621459.7,0.00675088295388281,21
111.822817,1056118.1,0,0,0,0,0,0,0,0,0,0,111.822558903435,111.822558903435,112.829835370315,7.31,877610.8,0.0066328817331671,22
111.827833,1135261.9,0,0,0,0,0,0,0,0,0,0,111.827574892067,111.827574892067,112.834851358947,8.05,983147.6,0.00712993927371435,23
111.835861,1057133.5,0,0,0,0,0,0,0,0,0,0,111.835602873872,111.835602873872,112.842879340752,7.32,890130.8,0.00663925888749469,24
111.849593,1106802.9,0,0,0,0,0,0,0,0,0,0,111.84933484275,111.84933484275,112.85661130963,7.79,632246.4,0.0069512043564317,25
111.851996,1401588.9,0,0,0,0,0,0,0,0,0,0,111.851737837303,111.851737837303,112.859014304183,10.53,887550.9,0.00880258885083001,26
111.852694,1142188.8,0,0,0,0,0,0,0,0,0,0,111.852435835721,111.852435835721,112.859712302601,8.12,765744.6,0.00717344322320397,27
111.854335,1028124.8,0,0,0,0,0,0,0,0,0,0,111.854076832002,111.854076832002,112.861353298882,7.05,777847.2,0.00645707161475225,28
111.863996,1025270.3,0,0,0,0,0,0,0,0,0,0,111.863737810106,111.863737810106,112.871014276986,7.03,686606.3,0.00643914411127766,29
111.871426,1089484,0,0,0,0,0,0,0,0,0,0,111.871167793267,111.871167793267,112.878444260147,7.62,1063471.8,0.00684243411998888,30
111.886137,1042487.4,0,0,0,0,0,0,0,0,0,0,111.885878759925,111.885878759925,112.893155226805,7.19,641942.5,0.00654727499937447,31
111.890119,1066391.3,0,0,0,0,0,0,0,0,0,0,111.8898607509,111.8898607509,112.89713721778,7.41,574024.8,0.00669740190436876,32
