molecular formula,Altamaha_PP48_000107-4_p08
C14H13O5N,1446604.8
C(13)14H14O5,1383887.6
C(13)11H18O7,1919702.8
C13H8O7,4957202.5
C10H12O7S,1730835.9
C10H13O7P,1952535.3
C10H12O9,2545178.0
C14H12O6,11751455.0
C11H16O6S,2911776.5
C11H16O8,5744678.5
C15H16O5,10479660.0
C12H21O5P,3086896.3
C12H20O7,2752563.0
C16H20O4,3848760.5
C13H11O6N,3256183.8
C(13)13H12O6,1436282.6
C14H15O5N,2085764.4
C(13)14H16O5,1520263.3
C13H10O7,10586830.0
C10H14O7S,2261967.5
C12H10O6N2,1766098.4
C10H15O7P,3257555.0
C13H16ON2P2,1459161.3
C14H14O6,18262748.0
C13H14O5N2,1360095.0
C11H19O6P,4720351.5
C15H18O5,13327080.0
C12H23O5P,1377260.4
C16H22O4,5781236.5
C14H30O3S,2320130.5
C12H9O7N,1729578.9
C13H13O6N,3154487.8
C(13)13H14O6,2212410.5
C14H17O5N,2269252.5
C(13)14H18O5,2473031.3
C12H8O8,3841413.0
C9H13O8P,1745289.8
C13H12O7,18054546.0
C10H16O7S,1290899.1
C12H12O6N2,1823893.9
C10H17O7P,2574742.5
C13H18ON2P2,1209884.9
C14H16O6,24599966.0
C13H16O5N2,1698210.8
C11H21O6P,2510243.3
C15H20O5,16631212.0
C16H24O4,1384120.4
C13H28O4S,3134905.5
C12H11O7N,3116273.8
C(13)12H12O7,2395380.8
C13H15O6N,3507454.8
C(13)13H16O6,3797249.5
C(13)14H20O5,2140686.5
C12H10O6S,1295944.8
C12H10O8,10115151.0
C13H14O5S,1656917.8
C12H16O2N2P2,1772378.1
C13H14O7,28553308.0
C12H14O6N2,1249632.0
C10H19O7P,2187360.8
C14H18O6,33960040.0
C15H22O5,11907190.0
C12H13O7N,4115390.8
C(13)12H14O7,4021185.5
C13H17O6N,2762187.8
C(13)13H18O6,5096910.5
C(13)14H22O5,2178267.5
C15H8O6,1303574.9
C12H12O6S,2316056.0
C12H13O6P,1317787.5
C12H12O8,25699102.0
C16H12O5,2187044.0
C13H16O5S,2748709.0
C13H16O7,50303788.0
C12H16O6N2,1323055.4
C10H21O7P,1319984.1
C14H20O6,28537656.0
C15H24O5,6167365.5
C(13)11H13O6P,1549955.3
C(13)11H12O8,3399302.3
C12H15O7N,4200592.5
C(13)12H16O7,6806675.0
C13H19O6N,1656989.3
C(13)13H20O6,4910240.0
C(13)14H24O5,1482413.3
C11H10O7S,2143454.5
C11H11O7P,1279969.9
C11H10O9,6308325.0
C15H10O6,2941930.3
C12H14O6S,3248107.5
C12H15O6P,1983471.0
C12H14O8,43234800.0
C11H14O7N2,1237750.0
C16H14O5,2748919.5
C13H18O5S,4292088.5
C13H19O5P,2280188.0
C13H18O7,42038784.0
C17H18O4,3402244.5
C14H23O4P,1404297.1
C14H22O6,11783692.0
C15H26O5,2415129.3
C16H30O4,1569318.3
C(13)11H15O6P,1462360.3
C(13)11H14O8,5830491.0
C(13)12H19O5P,2530661.5
