Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
316.067461463341,12,17,7,0,1,0,1,0,CHOP,Lignin,317.074737930221,-0.610840276921185,3,2245753.5
316.075523417208,12,16,9,0,1,0,0,0,CHO,Tannin,317.082799884088,-0.0407899397345733,2,4154492
316.082682376243,16,15,6,1,0,0,0,0,CHON,Lignin,317.089958843123,-0.0681946009721348,4,1520766.5
316.095682301855,13,20,6,1,0,0,1,0,CHONP,Protein,317.102958768735,-0.425347451572305,2,1356162.9
316.103847255134,13,21,6,0,1,0,1,0,CHOP,Protein,317.111123722014,-0.611670484149836,3,2675845.5
316.111888209123,13,20,8,0,1,0,0,0,CHO,Lignin,317.119164676003,0.024535245825105,1,3232904.3
316.148447999928,14,24,7,0,1,0,0,0,CHO,Protein,317.155724466808,-0.524991020876561,1,1512340.5
316.241267468836,17,36,2,1,0,0,1,0,CHONP,Lipid,317.248543935716,-0.561139582731183,1,19232948
316.940262682608,0,0,0,0,0,0,0,0,,None,317.947539149488,0,2,3304862.3
317.006929674818,11,11,9,0,0,0,1,0,CHOP,Tannin,318.014206141698,-0.432935683955105,3,1619124.6
317.030289672092,15,10,8,0,0,0,0,0,CHO,ConHC,318.037566138972,0.00364368173895767,4,6635964.5
317.033659459497,12,14,8,0,0,1,0,0,CHOS,Tannin,318.040935926377,0.00688534885557735,3,2591165.5
317.043317716304,12,15,8,0,0,0,1,0,CHOP,Tannin,318.050594183184,-0.440857167533323,5,4813249
317.051388602197,12,14,10,0,0,0,0,0,CHO,Tannin,318.058665069077,0.0993569014112951,2,9978308
317.061164886583,15,16,2,2,0,0,2,0,CHONP,Lignin,318.068441353463,0.815656956544433,1,1674182.9
317.066675174151,16,14,7,0,0,0,0,0,CHO,Lignin,318.073951641031,0.00365659947235799,4,11721161
317.070064318717,13,18,7,0,0,1,0,0,CHOS,Lignin,318.077340785597,-0.0539588802473251,2,3476937.8
317.078098402485,15,14,6,2,0,0,0,0,CHON,Lignin,318.085374869365,-0.59316454040722,4,1840588.5
317.079749447225,13,19,7,0,0,0,1,0,CHOP,Lignin,318.087025914105,-0.586127348929831,2,13226445
317.08780454429,13,18,9,0,0,0,0,0,CHO,Tannin,318.09508101117,0.00366409212601478,3,13238736
317.097533918983,16,20,1,2,0,0,2,0,CHONP,UnsatHC,318.104810385863,0.867351352214094,2,3945939
317.103060676215,17,18,6,0,0,0,0,0,CHO,Lignin,318.110337143095,0.00366949834720508,2,10107349
317.106377205202,14,22,6,0,0,1,0,0,CHOS,Protein,318.113653672082,0.174329888944909,1,1672662
317.114505501668,16,18,5,2,0,0,0,0,CHON,Lignin,318.121781968548,-0.660972809966913,2,1462744.8
317.116149763929,14,23,6,0,0,0,1,0,CHOP,Protein,318.123426230809,-0.632615808939749,2,16910810
317.124190046357,14,22,8,0,0,0,0,0,CHO,AminoSugar,318.131466513237,0.00367698053193015,2,6765020
317.139446178283,18,22,5,0,0,0,0,0,CHO,Lignin,318.146722645163,0.00368237926332159,2,6947297
317.152555867301,15,27,5,0,0,0,1,0,CHOP,Protein,318.159832334181,-0.697281551106359,2,1382373.6
317.160575548428,15,26,7,0,0,0,0,0,CHO,Protein,318.167852015308,0.00368985062538483,2,2231784.3
317.175795546661,19,26,4,0,0,0,0,0,CHO,Lignin,318.183072013541,0.117257838370924,1,1866733.5
317.225275540921,17,35,3,0,0,0,1,0,CHOP,Lipid,318.232552007801,-0.535796856556391,1,5506558
317.244595538682,16,36,2,1,1,0,1,0,CHONP,Lipid,318.251872005562,-0.475261186852015,1,4151812.5
318.025470652087,14,9,8,1,0,0,0,0,CHON,ConHC,319.032747118967,0.216754967682891,3,1974540.5
318.033782563079,14,10,8,0,1,0,0,0,CHO,ConHC,319.041059029959,-0.429080693044134,3,1867023.4
318.054792338095,11,14,10,0,1,0,0,0,CHO,Tannin,319.062068804975,-0.0542113177178311,3,1518102.4
318.061955261391,15,13,7,1,0,0,0,0,CHON,Lignin,319.069231728271,-0.0938701329810943,4,2829592.8
318.069993175318,15,14,7,0,1,0,0,0,CHO,Lignin,319.077269642198,0.119092476254554,2,2587419.5
318.083137034568,12,19,7,0,1,0,1,0,CHOP,Lignin,319.090413501448,-0.686918311974,2,2797856
318.091156948688,12,18,9,0,1,0,0,0,CHO,Tannin,319.098433415568,0.0112784380897317,2,2320162.8
