molecular formula,Altamaha_SW48_000107-2_p08
C11H8O9,1734484.1
C12H12O6S,1281370.4
C12H12O8,24759904.0
C16H12O5,1306085.3
C13H16O5S,2615910.5
C13H17O5P,1599593.8
C12H18O2N2P2,1286250.6
C13H16O7,38719084.0
C14H20O6,21999224.0
C15H24O5,5533317.0
C18H36O2,1781417.4
C11H11O8N,1747374.1
C(13)11H12O8,3213744.8
C(13)12H17O5P,3775418.3
C(13)12H16O7,5874621.0
C13H19O6N,1265094.5
C(13)13H20O6,3504585.3
C11H10O7S,2131443.3
C11H11O7P,1355510.5
C11H10O9,7220473.0
C15H10O6,2961662.3
C12H14O6S,1851903.5
C12H15O6P,2198274.8
C12H14O8,42627332.0
C16H14O5,2583818.5
C13H18O5S,2299915.8
C13H19O5P,1735439.0
C13H18O7,34697488.0
C17H18O4,1441558.9
C14H23O4P,1382939.3
C14H22O6,8947998.0
C15H26O5,1875242.3
C16H30O4,1766710.5
C(13)11H15O6P,1905237.4
C(13)11H14O8,5038680.0
C15H13O5N,1234266.5
C(13)12H19O5P,2239073.5
C(13)12H18O7,4146788.5
C(13)13H22O6,1375088.8
C14H8O7,2484635.3
C11H12O7S,2336156.3
C11H12O9,15272866.0
C15H12O6,5444519.5
C12H16O6S,2282408.8
C12H17O6P,3569068.0
C12H16O8,28898222.0
C16H16O5,3610035.8
C13H21O5P,3046840.3
C13H20O7,11148219.0
C17H20O4,1969088.3
C14H25O4P,1703364.6
C14H24O6,2500039.3
C15H28O5,1574867.8
C(13)10H12O9,1859318.9
C14H11O6N,1389305.3
C(13)11H17O6P,1249280.5
C(13)11H16O8,3046147.3
C15H15O5N,1375493.6
C(13)12H20O7,1885455.6
C10H11O8P,1651520.3
C14H10O7,7696968.0
C11H14O7S,2708041.5
C11H15O7P,4698700.5
C11H14O9,9254479.0
C15H14O6,9029205.0
C12H18O6S,2043989.8
C12H19O6P,6381145.0
C12H18O8,7816796.0
C16H18O5,6013537.0
C13H23O5P,4638309.5
C13H22O7,2116712.3
C17H22O4,1532781.5
C13H9O7N,1631132.0
C(13)10H14O9,1593254.0
C14H13O6N,2135464.5
C(13)14H14O6,1696683.3
C(13)11H18O8,1301426.4
C(13)12H23O5P,1336508.1
C13H8O8,5236973.0
C10H12O8S,1273838.1
C10H13O8P,3077361.5
C13H13O2N2SP,1557748.5
C13H14O2N2P2,1400055.5
C14H12O7,15200505.0
C11H16O7S,2253050.5
C13H12O6N2,1270525.3
C11H17O7P,7024894.0
C11H16O9,1510400.6
C14H18ON2P2,2037764.0
C15H16O6,15415558.0
C14H16O5N2,1480713.9
C12H21O6P,6169866.5
C12H20O8,1345549.1
C16H20O5,7235858.5
C17H24O4,1949982.9
C15H33O3P,20199728.0
C13H11O7N,2731087.5
C(13)13H12O7,2444882.3
C14H15O6N,2517596.0
C(13)14H16O6,2209886.8
C(13)15H20O5,1346411.3
C13H10O8,10802083.0
C10H14O8S,2024867.8
C10H15O8P,3356071.3
C13H16O2N2P2,1249581.3
C14H14O7,21060528.0
C13H14O6N2,2290611.0
C11H19O7P,5271475.5
C14H20ON2P2,1752249.9
C15H18O6,22150076.0
C14H18O5N2,1331391.5
C12H23O6P,2589120.3
C16H22O5,6192072.5
C17H26O4,108223448.0
C14H30O4S,8033238.0
C13H13O7N,3373831.5
C(13)13H14O7,2478346.3
C14H17O6N,2417940.0
C(13)14H18O6,3324694.8
C(13)15H22O5,1484835.4
C(13)16H26O4,16596272.0
C12H8O9,1698384.3
C13H12O6S,1481046.9
C13H12O8,20880988.0
C10H17O8P,2147425.5
C14H16O7,33037930.0
C13H16O6N2,1777261.5
C11H21O7P,3010670.3
C15H20O6,28094070.0
C12H25O6P,1398906.8
C16H24O5,3925123.0
C12H11O8N,2027447.6
C(13)12H12O8,2539450.5
C13H15O7N,3164612.3
C(13)13H16O7,4875207.0
C14H19O6N,1364177.0
C(13)14H20O6,4533204.0
C10H4O7P2,2149616.3
C12H10O7S,1328393.4
C12H10O9,7893263.5
C13H14O6S,1733398.1
C13H15O6P,1438745.5
C13H14O8,34275612.0
C12H14O7N2,1328160.4
C14H18O5S,2468898.8
C14H19O5P,1781286.3
C14H18O7,41976104.0
C11H23O7P,1526061.8
C15H22O6,19669302.0
C16H26O3S,26988860.0
C16H26O5,1918786.6
C(13)12H15O6P,3228793.5
