molecular formula,Altamaha_PP48_000107-3_p08
C14H15O5N,2438463.0
C(13)14H16O5,1648705.9
C13H10O5S,1395081.1
C13H10O7,12107919.0
C10H14O7S,2526608.8
C12H10O6N2,1815443.4
C10H15O7P,5726356.0
C13H16ON2P2,2117786.3
C14H14O6,19316892.0
C11H18O6S,1925533.5
C13H14O5N2,1633440.3
C11H19O6P,5349537.0
C15H18O5,15749289.0
C16H22O4,4018870.0
C12H9O7N,2011887.6
C13H13O6N,3958780.5
C(13)13H14O6,2422783.5
C14H17O5N,2647049.5
C(13)14H18O5,2524684.3
C12H8O6S,1384260.6
C12H8O8,2704202.8
C9H13O8P,1580367.5
C13H12O5S,1617233.4
C13H12O7,20796248.0
C10H16O7S,2009432.9
C12H12O6N2,2645851.5
C10H17O7P,4318556.0
C13H18ON2P2,1974114.5
C14H16O6,28210020.0
C11H20O6S,1471845.6
C13H16O5N2,1851240.4
C11H21O6P,2095465.0
C15H20O5,19546994.0
C16H24O4,1671550.1
C12H11O7N,4123317.3
C(13)12H12O7,2376888.0
C13H15O6N,4374722.0
C(13)13H16O6,3984068.8
C14H19O5N,1599182.6
C(13)14H20O5,3263185.5
C12H10O6S,1817094.9
C12H10O8,9741837.0
C13H14O5S,1445651.6
C12H16O2N2P2,1258263.9
C13H14O7,33187354.0
C12H14O6N2,2462749.8
C10H19O7P,1727774.3
C13H20ON2P2,1248932.5
C14H18O6,38843944.0
C15H22O5,15492659.0
C(13)11H10O8,1306217.6
C12H13O7N,5531507.5
C(13)12H14O7,4713334.5
C13H17O6N,3865472.0
C(13)13H18O6,5749635.0
C(13)14H22O5,2381711.5
C11H8O9,1586362.5
C12H12O6S,2878145.0
C12H13O6P,1391236.3
C11H14O3N2P2,1333573.1
C12H12O8,27134152.0
C16H12O5,2366156.3
C13H16O5S,2771149.5
C13H16O7,56670420.0
C12H16O6N2,1827543.4
C14H20O6,33413344.0
C15H24O5,6622444.5
C18H36O2,1601810.0
C11H11O6NS,1377301.9
C(13)11H13O6P,2097692.0
C(13)11H12O8,3612702.8
C15H11O5N,1466401.1
C12H15O7N,5426728.5
C(13)12H16O7,7421483.0
C13H19O6N,2106676.8
C(13)13H20O6,5601847.5
C(13)14H24O5,1399235.9
C11H10O7S,2613604.3
C11H10O9,6066026.5
C15H10O6,4188527.5
C12H14O6S,4257136.5
C12H15O6P,2845043.8
C12H14O8,51870584.0
C11H14O7N2,1943674.4
C16H14O5,3895163.8
C13H18O5S,2969468.8
C13H19O5P,3160448.3
C13H18O7,50461572.0
C12H18O6N2,1405830.6
C17H18O4,2983304.0
C14H23O4P,1315212.4
C14H22O6,14216079.0
C15H26O5,1873819.5
C14H9O6N,1722302.5
C(13)11H15O6P,2340037.5
C(13)11H14O8,6743240.5
C15H13O5N,2397386.8
C(13)12H19O5P,3244753.8
C(13)12H18O7,5909716.5
C(13)13H22O6,1825504.6
C14H8O7,2795526.8
C11H12O7S,4053512.0
