Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
207.066092597905,11,12,4,0,0,0,0,0,CHO,Lignin,208.073369064785,0.912220606629275,1,4032137.0,Altamaha_PP48_000107-3_p08,6.0,2.0,0.28571,0.44444,0.36364,1.09091,0.0,0.0,0.0,0.0,-0.36364,70.66364,0.36364,208.0,0.03727,0.24333,1.42128,0.26139,0.07307,0.17553,0.17203477074828497,C11H12O4,PUCs,Lignin-like,POCs
207.102514549962,12,16,3,0,0,0,0,0,CHO,Lignin,208.109791016842,0.736933410472723,1,1997962.4,Altamaha_PP48_000107-3_p08,5.0,2.0,0.22222,0.33333,0.25,1.33333,0.0,0.0,0.0,0.0,-0.83333,84.05,0.25,208.0,0.00448,0.28514,1.3798,0.3032,0.11485,0.21733,0.14498763681093932,C12H16O3,PUCs,Lignin-like,Lipid
209.045391015928,10,10,5,0,0,0,0,0,CHO,Lignin,210.052667482808,0.742426621214061,1,3202250.8,Altamaha_PP48_000107-3_p08,6.0,1.0,0.2,0.46667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,60.3,0.5,210.0,0.06568,0.21759,1.4628,0.23582,0.04571,0.14914,0.20301759563870225,C10H10O5,PUCs,Lignin-like,POCs
209.081766968921,11,14,4,0,0,0,0,0,CHO,Lignin,210.089043435801,0.787770729564788,1,3865804.0,Altamaha_PP48_000107-3_p08,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,210.0,0.02392,0.2594,1.42133,0.27763,0.08749,0.19094,0.16638816558868946,C11H14O4,PUCs,Lignin-like,POCs
211.024628481482,9,8,6,0,0,0,0,0,CHO,Tannin,212.031904948362,0.863271204135948,1,2192900.5,Altamaha_PP48_000107-3_p08,6.0,0.0,0.0,0.5,0.66667,0.88889,0.0,0.0,0.0,0.0,0.44444,47.63333,0.66667,212.0,0.09408,0.19185,1.50433,0.21024,0.01836,0.12276,0.24761151156869377,C9H8O6,PPAs,Polyphenol-like,POCs
211.061026435316,10,12,5,0,0,0,0,0,CHO,Lignin,212.068302902196,0.804427167845866,1,7122181.5,Altamaha_PP48_000107-3_p08,5.0,0.0,0.0,0.33333,0.5,1.2,0.0,0.0,0.0,0.0,-0.2,66.0,0.5,212.0,0.05233,0.23365,1.46285,0.25206,0.06013,0.16455,0.19580678542323898,C10H12O5,PUCs,Lignin-like,POCs
211.097442389142,11,16,4,0,0,0,0,0,CHO,Lignin,212.104718856022,0.660739555015564,1,3751686.5,Altamaha_PP48_000107-3_p08,4.0,0.0,0.0,0.22222,0.36364,1.45455,0.0,0.0,0.0,0.0,-0.72727,81.02727,0.36364,212.0,0.01057,0.27546,1.42138,0.29387,0.10191,0.20635,0.1611004517272444,C11H16O4,PUCs,Lignin-like,Lipid
212.056249179153,9,11,5,1,0,0,0,0,CHON,Lignin,213.063525646033,0.923775041722796,1,1861152.9,Altamaha_PP48_000107-3_p08,5.0,0.0,0.0,0.27273,0.55556,1.22222,0.11111,0.0,inf,0.0,0.22222,53.96667,0.66667,213.0,0.06443,0.22288,1.48153,0.24137,0.04855,0.15346,0.23843380277963167,C9H11O5N,PUCs,Lignin-like,Not Matched
213.040283948755,9,10,6,0,0,0,0,0,CHO,Tannin,214.047560415635,0.829899508346434,1,4753211.5,Altamaha_PP48_000107-3_p08,5.0,-1.0,0.0,0.33333,0.66667,1.11111,0.0,0.0,0.0,0.0,0.22222,53.96667,0.66667,214.0,0.08073,0.20791,1.50438,0.22648,0.03277,0.13817,0.2360801887859191,C9H10O6,PUCs,Lignin-like,POCs
213.076692903452,10,14,5,0,0,0,0,0,CHO,Lignin,214.083969370332,0.720229395857912,1,8848701.0,Altamaha_PP48_000107-3_p08,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,0.0,0.0,-0.4,71.7,0.5,214.0,0.03898,0.24972,1.4629,0.2683,0.07455,0.17996,0.1879624960337246,C10H14O5,PUCs,Lignin-like,Lipid
213.113124858136,11,18,4,0,0,0,0,0,CHO,Protein,214.120401325016,0.503180373897989,1,1806397.6,Altamaha_PP48_000107-3_p08,3.0,-1.0,0.0,0.11111,0.36364,1.63636,0.0,0.0,0.0,0.0,-0.90909,86.20909,0.36364,214.0,0.00278,0.29153,1.42143,0.31011,0.11633,0.22176,0.15613846700107537,C11H18O4,UAAs,Aliphatic-like,Lipid
215.00177353053,8,8,5,0,0,1,0,0,CHOS,Lignin,216.00904999741,0.898387775593604,2,2264434.0,Altamaha_PP48_000107-3_p08,5.0,0.0,0.0,0.33333,0.625,1.0,0.0,0.0,0.0,0.0,0.5,46.05,0.625,216.0,0.0482,0.24318,1.48538,0.26193,0.06638,0.17278,0.2787200860095735,C8H8O5S,PUCs,Lignin-like,POCs
215.055948464387,9,12,6,0,0,0,0,0,CHO,Tannin,216.063224931267,0.755272135578517,1,5244275.5,Altamaha_PP48_000107-3_p08,4.0,-2.0,0.0,0.16667,0.66667,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.66667,216.0,0.06738,0.22398,1.50443,0.24272,0.04719,0.15358,0.2255751062652247,C9H12O6,PUCs,Lignin-like,Not Matched
215.092341419973,10,16,5,0,0,0,0,0,CHO,Protein,216.099617886853,0.720673402227546,1,3856244.8,Altamaha_PP48_000107-3_p08,3.0,-2.0,0.0,0.06667,0.5,1.6,0.0,0.0,0.0,0.0,-0.6,77.4,0.5,216.0,0.02563,0.26579,1.46295,0.28454,0.08897,0.19537,0.18124233610351537,C10H16O5,UAAs,Aliphatic-like,Lipid
217.050473053269,12,10,4,0,0,0,0,0,CHO,Lignin,218.057749520149,0.730491126751848,1,2398384.3,Altamaha_PP48_000107-3_p08,8.0,4.0,0.5,0.6,0.33333,0.83333,0.0,0.0,0.0,0.0,-0.16667,65.05,0.33333,218.0,0.05443,0.23964,1.50487,0.25857,0.06121,0.16859,0.16371751049819216,C12H10O4,PPAs,Polyphenol-like,POCs
217.053863049211,9,14,4,0,0,1,0,0,CHOS,Protein,218.061139516091,0.642534060903734,1,1711664.4,Altamaha_PP48_000107-3_p08,3.0,-1.0,0.0,0.0,0.44444,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.44444,218.0,0.0069,0.30106,1.44395,0.31998,0.12257,0.22998,0.205361800075648,C9H14O4S,UAAs,Aliphatic-like,Lipid
217.071632027941,9,14,6,0,0,0,0,0,CHO,AminoSugar,218.078908494821,0.594680064617585,1,2143921.0,Altamaha_PP48_000107-3_p08,3.0,-3.0,0.0,0.0,0.66667,1.55556,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.66667,218.0,0.05403,0.24004,1.50448,0.25897,0.06161,0.16899,0.21596510363459703,C9H14O6,UAAs,Aliphatic-like,Not Matched
217.086902009665,13,14,3,0,0,0,0,0,CHO,Lignin,218.094178476545,0.531142810917089,1,1856689.5,Altamaha_PP48_000107-3_p08,7.0,4.0,0.4,0.47826,0.23077,1.07692,0.0,0.0,0.0,0.0,-0.61538,77.83846,0.23077,218.0,0.01268,0.28145,1.4634,0.30038,0.10299,0.21038,0.13903480740827184,C13H14O3,PUCs,Lignin-like,POCs
