Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
213.015286289996,7,6,6,2,0,0,0,0,CHON,Tannin,214.022562756876,0.108300377536375,1,2256939.8,Altamaha_SW48_000107-3_p08,6.0,0.0,0.0,0.5,0.85714,0.85714,0.28571,0.0,inf,0.0,1.71429,11.44286,1.14286,214.0,0.11829,0.1703,1.54169,0.18887,0.0048,0.10057,0.458554647652652,C7H6O6N2,PPAs,Polyphenol-like,Not Matched
213.040440272764,9,10,6,0,0,0,0,0,CHO,Tannin,214.047716739644,0.0995757238104319,1,6161965.5,Altamaha_SW48_000107-3_p08,5.0,-1.0,0.0,0.33333,0.66667,1.11111,0.0,0.0,0.0,0.0,0.22222,53.96667,0.66667,214.0,0.08073,0.20791,1.50438,0.22648,0.03277,0.13817,0.2360801887859191,C9H10O6,PUCs,Lignin-like,POCs
213.076832247841,10,14,5,0,0,0,0,0,CHO,Lignin,214.084108714721,0.0693427412333748,1,8507951.0,Altamaha_SW48_000107-3_p08,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,0.0,0.0,-0.4,71.7,0.5,214.0,0.03898,0.24972,1.4629,0.2683,0.07455,0.17996,0.1879624960337246,C10H14O5,PUCs,Lignin-like,Lipid
213.113232222923,11,18,4,0,0,0,0,0,CHO,Protein,214.120508689803,0.0017578768264573,1,1492273.5,Altamaha_SW48_000107-3_p08,3.0,-1.0,0.0,0.11111,0.36364,1.63636,0.0,0.0,0.0,0.0,-0.90909,86.20909,0.36364,214.0,0.00278,0.29153,1.42143,0.31011,0.11633,0.22176,0.15613846700107537,C11H18O4,UAAs,Aliphatic-like,Lipid
214.050940584278,12,9,3,1,0,0,0,0,CHON,ConHC,215.058217051158,0.12140546035442,1,2314856.3,Altamaha_SW48_000107-3_p08,9.0,6.0,0.625,0.68421,0.25,0.75,0.08333,0.0,inf,0.0,0.0,60.3,0.33333,215.0,0.05148,0.23855,1.48198,0.25721,0.06257,0.16847,0.17038663153904493,C12H9O3N,PAs,Cond. aromatic-like,Not Matched
214.080186564461,9,14,5,0,1,0,0,0,CHO,Lignin,215.087463031341,0.071442373090462,0,1414250.0,Altamaha_SW48_000107-3_p08,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,203.0,0.03628,0.23758,1.38702,0.2552,0.07141,0.1714,0.2071404581296331,C(13)9H14O5,UAAs,Aliphatic-like,Lipid
214.144762520727,11,21,3,1,0,0,0,0,CHON,Lipid,215.152038987607,0.485972588446452,1,1213293.8,Altamaha_SW48_000107-3_p08,2.0,-1.0,0.0,0.0,0.27273,1.90909,0.09091,0.0,inf,0.0,-1.09091,91.39091,0.36364,215.0,0.03242,0.32257,1.39863,0.34124,0.14652,0.25246,0.15243848050748138,C11H21O3N,N_Ccs,Aliphatic-like,Not Matched
215.001947943023,8,8,5,0,0,1,0,0,CHOS,Lignin,216.009224409903,0.0909562887131945,1,7297695.0,Altamaha_SW48_000107-3_p08,5.0,0.0,0.0,0.33333,0.625,1.0,0.0,0.0,0.0,0.0,0.5,46.05,0.625,216.0,0.0482,0.24318,1.48538,0.26193,0.06638,0.17278,0.2787200860095735,C8H8O5S,PUCs,Lignin-like,POCs
215.038304918636,9,12,4,0,0,1,0,0,CHOS,Lignin,216.045581385516,0.222999627232366,1,1318561.1,Altamaha_SW48_000107-3_p08,4.0,0.0,0.0,0.16667,0.44444,1.33333,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.44444,216.0,0.00645,0.28499,1.4439,0.30374,0.10816,0.21457,0.21403237482350507,C9H12O4S,PUCs,Lignin-like,Lipid
215.056097906705,9,12,6,0,0,0,0,0,CHO,Tannin,216.063374373585,0.063611963280312,1,8422050.0,Altamaha_SW48_000107-3_p08,4.0,-2.0,0.0,0.16667,0.66667,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.66667,216.0,0.06738,0.22398,1.50443,0.24272,0.04719,0.15358,0.2255751062652247,C9H12O6,PUCs,Lignin-like,Not Matched
215.071360896472,13,12,3,0,0,0,0,0,CHO,Lignin,216.078637363352,0.0318779704634347,1,1165475.0,Altamaha_SW48_000107-3_p08,8.0,5.0,0.5,0.56522,0.23077,0.92308,0.0,0.0,0.0,0.0,-0.46154,73.45385,0.23077,216.0,0.02603,0.26539,1.46335,0.28414,0.08857,0.19497,0.14295559626118493,C13H12O3,PPAs,Polyphenol-like,POCs
215.0925028823,10,16,5,0,0,0,0,0,CHO,Protein,216.09977934918,-0.0264927607174379,1,5730980.0,Altamaha_SW48_000107-3_p08,3.0,-2.0,0.0,0.06667,0.5,1.6,0.0,0.0,0.0,0.0,-0.6,77.4,0.5,216.0,0.02563,0.26579,1.46295,0.28454,0.08897,0.19537,0.18124233610351537,C10H16O5,UAAs,Aliphatic-like,Lipid
215.128860857936,11,20,4,0,0,0,0,0,CHO,Protein,216.136137324816,0.100888192090437,1,4104358.3,Altamaha_SW48_000107-3_p08,2.0,-2.0,0.0,0.0,0.36364,1.81818,0.0,0.0,0.0,0.0,-1.09091,91.39091,0.36364,216.0,0.01612,0.3076,1.42148,0.32635,0.13074,0.23717,0.1514730128202671,C11H20O4,UAAs,Aliphatic-like,Lipid
216.059405237576,8,12,6,0,1,0,0,0,CHO,Tannin,217.066681704456,0.282176624893574,0,1262555.5,Altamaha_SW48_000107-3_p08,3.0,-3.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,60.3,0.75,205.0,0.06469,0.21183,1.42855,0.22962,0.04405,0.14502,0.25377199454837784,C(13)8H12O6,UAAs,Carbohydrate-like,Not Matched
216.124098194677,10,19,4,1,0,0,0,0,CHON,Protein,217.131374661557,0.154017091656375,1,2031839.3,Altamaha_SW48_000107-3_p08,2.0,-2.0,0.0,0.0,0.4,1.9,0.1,0.0,inf,0.0,-0.8,83.1,0.5,217.0,0.00402,0.29683,1.44016,0.31567,0.11916,0.22608,0.17627586267092998,C10H19O4N,N_Ccs,Aliphatic-like,Not Matched
217.035391593537,8,10,7,0,0,0,0,0,CHO,Tannin,218.042668060417,-0.0705582883385427,1,1524115.5,Altamaha_SW48_000107-3_p08,4.0,-3.0,0.0,0.11111,0.875,1.25,0.0,0.0,0.0,0.0,0.5,46.05,0.875,218.0,0.09579,0.19823,1.54595,0.21715,0.01983,0.12719,0.28200659940944894,C8H10O7,PUCs,Tannin-like,POCs
217.050597583557,12,10,4,0,0,0,0,0,CHO,Lignin,218.057874050437,0.159402468151971,1,1920788.4,Altamaha_SW48_000107-3_p08,8.0,4.0,0.5,0.6,0.33333,0.83333,0.0,0.0,0.0,0.0,-0.16667,65.05,0.33333,218.0,0.05443,0.23964,1.50487,0.25857,0.06121,0.16859,0.16371751049819216,C12H10O4,PPAs,Polyphenol-like,POCs
