Molecular formula,Altamaha_SW48_000107-4_p08
C13H19O6N,1823248.6
C14H6O7,1285440.8
C11H10O7S,2185537.8
C11H10O9,8382792.0
C15H10O6,2809677.3
C12H14O6S,3195726.3
C12H14O8,44931412.0
C11H14O7N2,1357656.3
C16H14O5,2619737.5
C13H18O5S,3455834.8
C13H18O7,37566816.0
C14H22O6,10690925.0
C15H26O5,2216825.5
C16H30O4,1875078.0
C14H9O6N,1637792.5
C11H13O8N,1939111.8
C12H17O7N,2257076.3
C14H8O7,2749423.5
C11H12O7S,3122672.8
C11H12O9,16595959.0
C15H12O6,5928956.0
C12H16O6S,2503677.0
C14H12O5N2,1361919.8
C12H16O8,31656964.0
C16H16O5,4834312.5
C13H20O5S,1270537.5
C13H20O7,13036559.0
C17H20O4,2234900.8
C14H24O6,2971675.8
C15H28O5,2317864.3
C14H11O6N,2491214.0
C11H15O8N,1930069.3
C15H15O5N,1434202.5
C12H19O7N,1688161.6
C10H10O8S,1846416.8
C14H10O7,9957020.0
C11H14O7S,3027613.0
C11H14O9,12132003.0
C15H14O6,12025512.0
C12H18O6S,2496169.3
C12H18O8,9828015.0
C16H18O5,6963892.5
C13H22O7,3800251.8
C17H22O4,1917120.9
C14H26O6,1277000.0
C13H9O7N,2078189.0
C14H13O6N,2998777.3
C11H17O8N,1762816.4
C15H17O5N,1688325.5
C13H8O8,7035193.5
C10H12O8S,2149946.8
C14H12O7,19329350.0
C11H16O7S,2296647.3
C13H12O6N2,1470281.8
C11H16O9,1837901.1
C15H16O6,18305362.0
C14H16O5N2,1824598.1
C12H20O8,1363801.5
C16H20O5,8546655.0
C17H24O4,2245994.8
C14H28O4S,1257580.0
C15H32O3S,4978040.5
C13H11O7N,2601622.0
C14H15O6N,2606754.3
C15H19O5N,1445806.5
C13H10O6S,1508315.8
C13H10O8,14359522.0
C10H14O8S,2172387.0
C14H14O7,25129966.0
C11H18O7S,1539823.1
C13H14O6N2,2288625.8
C15H18O6,26932218.0
C16H22O5,8508423.0
C17H26O4,112370704.0
C14H30O4S,11262996.0
C12H9O8N,1399856.9
C13H13O7N,3514173.3
C14H17O6N,2633545.5
C12H8O9,3297404.0
C13H12O8,23467656.0
C12H12O7N2,1805451.9
C14H16O5S,1329294.4
C14H16O7,35554964.0
C13H16O6N2,1690264.1
C15H20O6,31663776.0
C16H24O3S,1263910.8
C16H24O5,3948204.8
C12H11O8N,2167254.5
C13H15O7N,3608546.8
C12H10O7S,1643034.8
C12H10O9,8108320.5
C16H10O6,1389093.9
C13H14O6S,1784871.0
C13H14O8,37644588.0
C12H14O7N2,1312560.8
C14H18O5S,3363635.3
C14H18O7,43403576.0
C15H22O4S,1401151.4
C15H22O6,20359494.0
C16H26O3S,73361736.0
C16H26O5,1642065.6
C12H13O8N,2966650.5
C13H17O7N,3876998.8
C15H8O7,1632445.1
C12H12O7S,2823102.3
C12H12O9,25086916.0
C16H12O6,3027913.3
C13H16O6S,2740170.5
C13H16O8,53644240.0
C17H16O5,1816789.5
C14H20O5S,2616790.5
C14H20O7,33721308.0
C18H20O4,1381601.6
C15H24O6,9026537.0
C16H28O5,1441013.0
C17H32O4,1461761.1
C15H11O6N,1735190.4
C12H15O8N,2427421.5
C13H19O7N,2388777.8
C14H6O8,2060371.5
C11H10O8S,1913428.6
C11H10O10,3504730.5
C15H10O7,5380703.5
C12H14O7S,3911264.8
C12H14O9,32550502.0
C16H14O6,6966892.0
C13H18O6S,2497133.0
C13H18O8,31919730.0
C17H18O5,4044408.0
C14H22O7,10571391.0
C18H22O4,2154116.3
C15H26O6,2420875.3
C14H9O7N,1549740.4
C15H13O6N,1849528.5
C12H17O8N,1736383.6
C16H17O5N,1330116.6
C13H21O7N,1792459.8
C14H8O8,4815093.0
C11H12O8S,2386678.3
C11H12O10,4759804.0
C15H12O7,12888321.0
C12H16O7S,3641090.5
C14H12O6N2,1353989.1
C12H16O9,17064200.0
C16H16O6,10707213.0
C13H20O6S,1933070.5
C13H20O8,8663316.0
C17H20O5,6250777.5
C14H24O7,2514208.5
C18H24O4,2090277.8
C14H11O7N,3280461.8
C11H15O9N,1775700.8
C15H15O6N,2734169.8
C12H19O8N,2054752.9
C14H10O8,15397782.0
C11H14O8S,2760087.3
C11H14O10,2623901.3
C15H14O7,22533026.0
C12H18O7S,2727843.5
C14H14O6N2,2210726.0
C12H18O9,3226537.5
C16H18O6,17793966.0
C13H22O6S,1535407.6
C17H22O5,8102842.5
C18H26O4,1824198.8
C16H34O3S,4146644.0
C14H13O7N,4967662.5
C11H17O9N,1633269.6
C15H17O6N,3147514.8
C12H21O8N,1520385.9
C13H8O9,4553259.0
C14H12O6S,1389361.1
C14H12O8,27088438.0
C11H16O8S,1873464.1
C13H12O7N2,1931578.8
C15H16O7,33756740.0
C12H20O7S,1794628.3
C14H16O6N2,2865734.8
C16H20O6,26019408.0
C17H24O5,7037531.5
C14H28O5S,2763356.5
C15H32O4S,8048232.5
C13H11O8N,3024259.0
C14H15O7N,4879247.0
C11H19O9N,1690262.3
C15H19O6N,2066843.4
C13H10O7S,1653189.5
C13H10O9,14667979.0
C14H14O8,36067544.0
C13H14O7N2,2039259.4
C15H18O7,46987492.0
C12H22O7S,3363045.0
C16H22O6,20801776.0
C17H26O3S,1533686.1
C17H26O5,5119228.0
C14H30O5S,9216253.0
C13H13O8N,3586595.8
C14H17O7N,4612656.0
C15H21O6N,1498684.1
C12H8O10,1533280.1
C16H8O7,1304165.3
C13H12O7S,1884518.4
C13H12O9,23612268.0
C17H12O6,2042737.4
C14H16O6S,2064754.5
C14H16O8,53443448.0
C13H16O7N2,1700732.1
C18H16O5,1598589.5
C15H20O5S,2581374.5
C22H16O2,1298306.6
C15H20O7,48077700.0
C16H24O6,9429905.0
C17H28O3S,141917072.0
C17H28O5,1654428.9
C13H15O8N,4319429.0
C14H19O7N,2393809.0
C12H10O8S,2071035.4
C12H10O10,4948481.5
C16H10O7,2406918.3
C13H14O7S,2089735.5
C13H14O9,37682700.0
C17H14O6,2653202.5
C14H18O6S,2068499.6
C14H18O8,49856024.0
C18H18O5,1960222.6
C15H22O5S,2504735.8
C15H22O7,24018470.0
C16H26O4S,1463852.0
C18H34O4,1646922.3
C12H13O9N,2022234.1
C13H17O8N,3181414.3
C14H21O7N,1625458.4
C15H8O8,2668700.0
C12H12O8S,2670749.3
C12H12O10,13523107.0
C16H12O7,6272168.0
C13H16O7S,3737769.3
C13H16O9,42688688.0
C17H16O6,5714100.5
C14H20O6S,2334901.5
C14H20O8,28586172.0
C18H20O5,2963648.5
C15H24O7,7884999.5
C19H24O4,1357772.6
C16H28O6,1995987.8
C15H11O7N,2278645.3
C12H15O9N,1965564.3
C16H15O6N,1678849.4
C13H19O8N,2991624.5
C15H10O8,8860479.0
C12H14O8S,2581823.8
C12H14O10,15684422.0
C16H14O7,12761931.0
C13H18O7S,3492172.0
C13H18O9,18240338.0
C17H18O6,10488663.0
C14H22O6S,2005336.3
C14H22O8,7294814.0
C18H22O5,6648675.5
C15H26O7,1782890.3
C19H26O4,1468783.5
C14H9O8N,2185356.3
C11H13O10N,1574291.3
C15H13O7N,3593368.5
