molecular formula,Altamaha_SW48_000107-3_p08
C15H15O5N,1765391.6
C14H10O7,8576817.0
C11H14O7S,2891058.0
C11H14O9,8478519.0
C15H14O6,11310908.0
C12H18O6S,1437757.1
C14H14O5N2,1260863.5
C12H18O8,8580931.0
C16H18O5,7238471.0
C13H22O7,4236109.5
C17H22O4,2732370.3
C13H9O7N,1566817.0
C14H13O6N,2729580.0
C11H17O8N,1488242.5
C15H17O5N,1720951.1
C12H21O7N,1340541.6
C13H8O8,4589965.5
C14H12O7,15878553.0
C11H16O7S,2298777.8
C11H16O9,1350047.3
C15H16O6,16705956.0
C12H20O6S,1416868.9
C14H16O5N2,1777319.4
C12H20O8,1338026.3
C16H20O5,8929711.0
C17H24O4,2810810.0
C15H32O3S,1946310.3
C13H11O7N,2382025.0
C14H15O6N,2614484.3
C11H19O8N,1514714.6
C15H19O5N,1528031.3
C13H10O8,10341366.0
C10H14O8S,1805303.1
C14H14O7,20384770.0
C15H18O6,24595468.0
C16H22O5,7480343.5
C17H26O4,129326112.0
C14H30O4S,12633124.0
C13H13O7N,2953010.0
C14H17O6N,2926909.3
C12H8O9,2044756.8
C13H12O6S,1351258.5
C13H12O8,17813088.0
C14H16O5S,1265509.6
C14H16O7,32398956.0
C13H16O6N2,1950830.5
C15H20O6,29212278.0
C16H24O3S,1319292.0
C16H24O5,4082305.5
C12H11O8N,1361809.6
C13H15O7N,3208604.8
C14H19O6N,1702312.0
C12H10O7S,1861051.1
C12H10O9,6724800.5
C13H14O6S,1718982.3
C13H14O8,29155532.0
C17H14O5,1579472.4
C14H18O5S,2456785.5
C14H18O7,37781720.0
C15H22O6,18903266.0
C16H26O3S,58630376.0
C16H26O5,2048493.4
C12H13O8N,2447358.8
C13H17O7N,3203082.0
C12H12O7S,2928937.5
C12H12O9,17453870.0
C16H12O6,3219763.5
C13H16O6S,3328820.8
C13H16O8,41591612.0
C17H16O5,2583358.8
C14H20O5S,2698560.0
C14H20O7,28422982.0
C18H20O4,1418314.1
C15H24O6,8233808.5
C17H32O4,1573735.3
C12H15O8N,2679406.8
C13H19O7N,1769593.9
C14H6O8,1591694.6
C11H10O8S,1564047.6
C11H10O10,2549653.3
C15H10O7,4706714.0
C12H14O7S,4007323.0
C12H14O9,25306528.0
C16H14O6,6323621.5
C13H18O6S,2677670.3
C13H18O8,26887596.0
C17H18O5,4068784.5
C14H22O7,9921975.0
C18H22O4,1849788.0
C15H26O6,2731458.5
C14H9O7N,1598672.3
C15H13O6N,1901787.6
C12H17O8N,2216162.3
C13H21O7N,1762797.5
C14H8O8,3667460.0
C11H12O8S,1534725.1
C11H12O10,3828234.8
C15H12O7,10244111.0
