molecular formula,Altamaha_PP48_000107-3_p08
C12H15O8N,4525611.0
C16H15O5N,2136367.8
C13H19O7N,3020342.3
C11H10O8S,2037574.0
C11H10O10,2116939.5
C15H10O7,6733648.0
C12H14O7S,4684625.0
C12H14O9,31977302.0
C16H14O6,8017755.0
C13H18O6S,3417436.0
C13H18O8,38563680.0
C17H18O5,5225318.0
C14H22O5S,1684327.1
C14H22O7,14606188.0
C18H22O4,2383729.3
C15H26O6,2735479.5
C14H9O7N,2343037.5
C11H13O9N,1278084.0
C15H13O6N,3296392.5
C12H17O8N,2288783.0
C16H17O5N,1698451.6
C13H21O7N,2074266.0
C14H8O8,3378086.8
C11H12O8S,2730919.8
C11H12O10,2791341.3
C15H12O7,15163826.0
C12H16O7S,4371891.0
C14H12O6N2,2345909.3
C12H16O9,13509048.0
C16H16O6,14260669.0
C13H20O6S,2650557.8
C15H16O5N2,2001856.1
C13H20O8,8185283.0
C17H20O5,7841223.5
C14H24O7,2526670.0
C18H24O4,2481106.8
C14H11O7N,4831965.5
C11H15O9N,1968867.9
C15H15O6N,3860200.5
C12H19O8N,2795246.8
C16H19O5N,1329907.4
C13H23O7N,1538041.8
C14H10O8,12768261.0
C11H14O8S,2539526.0
C11H14O10,1519883.4
C15H14O7,24167440.0
C12H18O7S,3545105.0
C14H14O6N2,3676691.5
C12H18O9,2020886.4
C16H18O6,21431322.0
C13H22O6S,1468956.0
C15H18O5N2,1997598.4
C17H22O5,9987110.0
C18H26O4,1960496.8
C13H9O8N,2070319.5
C10H13O10N,1422389.9
C14H13O7N,6533434.5
C11H17O9N,1512256.6
C15H17O6N,4469061.5
C12H21O8N,1561419.6
C13H8O9,2878038.0
C14H12O6S,2028379.6
C14H12O8,30004832.0
C11H16O8S,2781794.0
C13H12O7N2,3568740.3
C15H16O7,44447340.0
C12H20O7S,2184300.8
C14H16O6N2,4229231.0
C16H20O6,35272312.0
C17H24O5,9717378.0
C13H11O8N,4629386.5
C14H15O7N,7301013.5
C11H19O9N,1648283.6
C15H19O6N,4318624.0
C13H10O7S,1512107.1
C13H10O9,10985648.0
C14H14O6S,2283190.0
C14H14O8,43817148.0
C13H14O7N2,3685054.8
C15H18O7,65353928.0
C14H18O6N2,2321097.5
C23H18O,1352143.4
C16H22O6,29739218.0
C17H26O5,6699228.0
C13H13O8N,5207524.5
C14H17O7N,6925807.5
C15H21O6N,1837562.3
C13H12O7S,3553541.3
C13H12O9,24607498.0
C12H12O8N2,1649933.9
C17H12O6,2107151.0
C14H16O6S,2515216.0
C14H16O8,64961300.0
C13H16O7N2,2609944.8
C18H16O5,1738265.9
C15H20O5S,2843419.0
C15H20O7,64043808.0
C14H20O6N2,1615139.6
C16H24O6,12911403.0
C17H28O3S,27487024.0
C12H11O9N,1868339.9
C13H15O8N,6125631.0
C14H19O7N,3769417.8
C18H23O2N3,3749980.5
C12H10O8S,2081109.0
C12H10O10,3598682.3
C16H10O7,2282334.8
C13H14O7S,3748191.8
C13H14O9,40779108.0
C17H14O6,3107177.8
C14H18O6S,2862954.8
C14H18O8,61963632.0
C13H18O7N2,1785971.4
C18H18O5,2493300.8
C15H22O5S,1591925.8
C15H22O7,29171066.0
C16H26O6,3971461.8
C12H13O9N,2840207.3
C16H13O6N,1352851.9
C13H17O8N,4640410.5
C14H21O7N,1960101.1
C15H8O8,1969584.4
C12H12O8S,3644849.5
C12H12O10,11460535.0
C16H12O7,6886331.5
C13H16O7S,3746748.3
C15H12O6N2,1793470.8
C13H16O9,38322112.0
C17H16O6,7078854.0
C14H20O6S,2856391.3
C14H20O8,29454284.0
C18H20O5,3406801.3
C15H24O5S,2031058.3
C15H24O7,8241111.5
C19H24O4,1936604.1
C15H11O7N,3440870.8
C12H15O9N,2706669.0
C16H15O6N,2442481.8
C13H19O8N,3745016.0
C11H10O9S,1321989.6
C15H10O8,9363984.0
C12H14O8S,4097552.8
C12H14O10,11420182.0
C16H14O7,15950363.0
C13H18O7S,4208155.5
C15H14O6N2,2959390.0
C13H18O9,15491617.0
C10H22O9S,1348642.0
C17H18O6,12616230.0
C14H22O6S,2212390.5
C14H22O8,8024620.0
C18H22O5,9771569.0
C15H26O5S,1381169.5
C15H26O7,1562167.0
C19H26O4,2283067.5
C16H34O4N2,2163280.5
C14H9O8N,2715452.8
C13H9O7N3,1594944.3
C11H13O10N,1407043.3
C15H13O7N,4546376.0
C12H17O9N,3630414.3
C16H17O6N,2925394.8
C13H21O8N,4671321.0
C14H8O9,2632807.5
C11H12O9S,1556072.6
C15H12O6S,1561197.3
C15H12O8,26342514.0
C12H16O8S,4355187.5
C14H12O7N2,3888246.0
C12H16O10,3485305.0
C16H16O7,29647998.0
C13H20O7S,3889278.8
C15H16O6N2,4114561.3
C13H20O9,3334276.3
C17H20O6,23721096.0
C14H24O6S,1638281.8
C16H20O5N2,1744268.3
C18H24O5,12590228.0
C19H28O4,1953951.0
C14H11O8N,4690338.0
C11H15O10N,1777064.5
C15H15O7N,6365613.5
C12H19O9N,3746739.8
C16H19O6N,3661240.3
C13H23O8N,1882046.8
C16H35O5N,6033888.0
C14H10O7S,2080714.0
C14H10O9,12885711.0
C15H14O6S,1595861.1
C15H14O8,39143132.0
C12H18O8S,3380955.8
C14H14O7N2,4825822.0
C16H18O7,46745316.0
C15H18O6N2,4202217.5
C17H22O6,28120816.0
C18H26O5,9025276.0
C14H13O8N,7608333.0
C11H17O10N,1777939.4
C15H17O7N,6781976.0
C12H21O9N,2313758.8
C16H21O6N,2882083.3
C13H8O10,1648434.0
C14H12O7S,3568951.8
C14H12O9,33777980.0
C13H12O8N2,2988864.8
C18H12O6,1448258.0
C15H16O6S,2331459.0
C15H16O8,69568840.0
C14H16O7N2,5222732.0
C16H20O7,70224208.0
C15H20O6N2,2501975.3
C17H24O6,24533344.0
C18H28O5,3694954.5
C13H11O9N,3209842.8
C14H15O8N,9030270.0
C15H19O7N,6138505.5
C16H23O6N,1536916.9
C13H10O8S,2393505.0
C13H10O10,7523238.5
C17H10O7,2019755.5
C14H14O7S,3293100.5
C21H10O4,1945264.3
C14H14O9,56691636.0
C13H14O8N2,3077557.5
C18H14O6,2419638.8
C15H18O6S,2700216.0
C15H18O8,104238016.0
C14H18O7N2,3776961.0
C19H18O5,1624002.4
C16H22O5S,2437059.3
C16H22O7,54799304.0
C17H26O6,11637716.0
C18H30O3S,28273626.0
C13H13O9N,5822699.5
C17H13O6N,1811440.4
C14H17O8N,7582967.0
C15H21O7N,4011266.5
C19H25O2N3,4841750.5
C13H12O8S,3861021.8
C13H12O10,19680804.0
C17H12O7,4919848.5
C14H16O7S,4170281.3
C14H16O9,69307952.0
C13H16O8N2,2566194.5
C18H16O6,5444148.0
C15H20O6S,2941493.0
C15H20O8,73518648.0
C19H20O5,1935423.5
C16H24O7,20876870.0
C17H28O6,2391121.8
C16H11O7N,1754214.1
C13H15O9N,5710701.0
C14H19O8N,5080952.5
C15H23O7N,1821572.1
C12H10O11,2001821.6
C16H10O8,5259426.5
C13H14O8S,3416739.8
C13H14O10,29290666.0
C17H14O7,8081582.5
C14H18O7S,4066479.3
C14H18O9,44789940.0
C18H18O6,10113210.0
C15H22O6S,3198139.0
C15H22O8,24473792.0
C19H22O5,4124869.8
C15H9O8N,1621989.1
C12H13O10N,1690604.0
C16H13O7N,2855921.0
C13H17O9N,4382200.0
C14H21O8N,2734083.8
C15H25O7N,27488784.0
C15H8O9,1954598.6
C12H12O9S,1662247.6
C12H12O11,2754861.5
C23H8O3,1490224.8
C16H12O8,11490099.0
C13H16O8S,4001587.5
C15H12O7N2,1595190.3
C13H16O10,16429881.0
C17H16O7,13974334.0
C14H20O7S,3776319.5
C16H16O6N2,2465090.3
C14H20O9,14099269.0
C18H20O6,10158922.0
C15H24O6S,2744651.5
C15H24O8,5604177.5
C19H24O5,6117206.5
C20H28O4,1871970.3
C15H11O8N,3266170.5
C12H15O10N,1930369.5
C16H15O7N,3461766.5
C13H19O9N,4560013.5
C17H19O6N,1675666.6
C14H23O8N,1638553.6
C15H10O9,9088450.0
C12H14O9S,2226114.8
C12H14O11,2582984.8
C16H14O8,22091214.0
C13H18O8S,3609039.0
C15H14O7N2,3312593.5
C13H18O10,4144596.8
C17H18O7,20796890.0
C14H22O7S,3530203.0
C16H18O6N2,3018717.8
C14H22O9,2522593.0
C18H22O6,17155558.0
C19H26O5,6815218.0
C14H9O9N,1538063.4
C15H13O8N,5601051.5
C12H17O10N,2738466.8
C16H17O7N,5727016.0
C13H21O9N,3476783.0
C17H21O6N,1645876.3
C14H25O8N,1398843.4
C15H12O7S,2584162.8
C15H12O9,27023464.0
C12H16O9S,1959018.1
C14H12O8N2,2935404.8
C16H16O8,42137716.0
C13H20O8S,2925174.5
C15H16O7N2,5760121.0
C17H20O7,42940544.0
C16H20O6N2,2317701.5
C18H24O6,24000654.0
C19H28O5,6161562.5
C14H11O9N,3415997.3
C15H15O8N,8595914.0
C14H15O7N3,1507789.5
C12H19O10N,2781649.0
C16H19O7N,6313430.0
C13H23O9N,2469341.5
C17H23O6N,2342370.8
C14H10O10,9511697.0
C15H14O7S,4417303.5
C22H10O4,2957595.5
C15H14O9,55859996.0
C14H14O8N2,5373729.5
C16H18O8,84646696.0
C15H18O7N2,5996334.0
C17H22O7,66247480.0
C18H26O6,19721028.0
C19H30O5,3016528.0
C14H13O7NS,1564274.5
C14H13O9N,7509113.0
C15H17O8N,9778310.0
C14H17O7N3,1759113.5
C16H21O7N,4947090.5
