Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
512.055158585908,23,16,13,0,1,0,0,0,CHO,ConHC,513.062435052788,0.0202429790136161,-1,1646200.8,Altamaha_SW48_000107-4_p08,16.0,3.0,0.3,0.57576,0.56522,0.69565,0.0,0.0,0.0,0.0,0.43478,47.9087,0.56522,501.0,0.22719,0.4485,3.55987,0.49198,0.03852,0.28524,0.0966861293859918,C(13)23H16O13,PPAs,Polyphenol-like,POCs
512.068371761348,20,21,13,0,1,0,1,0,CHOP,Lignin,513.075648228228,-0.616125573389934,-1,1738107.5,Altamaha_SW48_000107-4_p08,11.0,-2.0,0.0,0.28,0.65,1.05,0.0,0.05,0.0,inf,0.0,60.3,0.65,501.0,0.24317,0.4325,3.57574,0.47598,0.02253,0.26924,0.100654372334704,C(13)20H21O13P,PUCs,Lignin-like,POCs
512.076475868951,20,20,15,0,1,0,0,0,CHO,Tannin,513.083752335831,-0.345995230773566,-1,3005565.3,Altamaha_SW48_000107-4_p08,11.0,-4.0,0.0,0.28,0.75,1.0,0.0,0.0,0.0,0.0,0.5,46.05,0.75,501.0,0.22679,0.4489,3.55947,0.49238,0.03892,0.28564,0.11280263976377956,C(13)20H20O15,PUCs,Tannin-like,POCs
512.104727244062,21,25,12,0,1,0,1,0,CHOP,Lignin,513.112003710942,-0.55756918508338,-1,2133123.3,Altamaha_SW48_000107-4_p08,10.0,-2.0,0.0,0.21429,0.57143,1.19048,0.0,0.04762,0.0,inf,-0.28571,68.44286,0.57143,501.0,0.20142,0.47431,3.53427,0.51779,0.0643,0.31103,0.09074945782594555,C(13)21H25O12P,PUCs,Lignin-like,POCs
512.112748350563,21,24,14,0,1,0,0,0,CHO,Lignin,513.120024817443,-0.125701277567656,-1,3593349.0,Altamaha_SW48_000107-4_p08,10.0,-4.0,0.0,0.21429,0.66667,1.14286,0.0,0.0,0.0,0.0,0.19048,54.87143,0.66667,501.0,0.18504,0.49071,3.518,0.53419,0.08069,0.32743,0.10050855155895883,C(13)21H24O14,PUCs,Lignin-like,POCs
512.141205728406,22,29,11,0,1,0,1,0,CHOP,Lignin,513.148482195286,-0.738720855932269,-1,2863242.8,Altamaha_SW48_000107-4_p08,9.0,-2.0,0.0,0.16129,0.5,1.31818,0.0,0.04545,0.0,inf,-0.54545,75.84545,0.5,501.0,0.15967,0.51612,3.49279,0.5596,0.10608,0.35283,0.08261928941454069,C(13)22H29O11P,PUCs,Lignin-like,POCs
512.149195834495,22,28,13,0,1,0,0,0,CHO,Lignin,513.156472301375,-0.246469608102231,-1,3645580.5,Altamaha_SW48_000107-4_p08,9.0,-4.0,0.0,0.16129,0.59091,1.27273,0.0,0.0,0.0,0.0,-0.09091,62.89091,0.59091,501.0,0.14329,0.53252,3.47652,0.57601,0.12247,0.36923,0.09063090712916398,C(13)22H28O13,PUCs,Lignin-like,POCs
512.177360208446,23,33,10,0,1,0,1,0,CHOP,Lignin,513.184636675325,-0.288487251759741,-1,3027090.5,Altamaha_SW48_000107-4_p08,8.0,-2.0,0.0,0.11765,0.43478,1.43478,0.0,0.04348,0.0,inf,-0.78261,82.60435,0.43478,501.0,0.11791,0.55793,3.45132,0.60142,0.14785,0.39463,0.07582609285291081,C(13)23H33O10P,PUCs,Lignin-like,Lipid
512.185570317455,23,32,12,0,1,0,0,0,CHO,Lignin,513.192846784335,-0.224972221169839,-1,2547348.3,Altamaha_SW48_000107-4_p08,8.0,-4.0,0.0,0.11765,0.52174,1.3913,0.0,0.0,0.0,0.0,-0.34783,70.21304,0.52174,502.0,1.10153,0.42567,4.43505,0.38218,0.83576,0.58897,0.08252101741919651,C(13)23H32O12,PUCs,Lignin-like,Lipid
513.06746946418,24,18,13,0,0,0,0,0,CHO,ConHC,514.07474593106,-0.0102435685213431,-1,6016332.0,Altamaha_SW48_000107-4_p08,16.0,3.0,0.27273,0.54286,0.54167,0.75,0.0,0.0,0.0,0.0,0.33333,50.8,0.54167,514.0,0.21654,0.47671,3.6358,0.52132,0.05608,0.30921,0.09064064830011692,C24H18O13,PPAs,Polyphenol-like,POCs
